# data from Flagstad et al (2023) DOI: 10.1046/j.1365-294X.2003.01784.x
year,pc_hetero
1828.857,72.565
1830.726,66.911
1830.996,52.304
1846.696,78.691
1851.157,57.251
1852.042,73.508
1862.274,62.435
1874.815,54.895
1898.886,72.33
1899.596,66.675
1899.649,46.414
1900.045,72.565
1913.984,62.435
1916.311,59.372
1916.591,40.524
1916.72,80.576
1934.628,60.079
1938.363,50.419
1949.488,52.539
1949.676,69.503
1950.661,47.12
1950.861,59.607
1953.959,27.33
1954.312,70.209
1958.787,43.115
1961.63,20.026
1962.774,25.916
